support_id,support_tuple,support_size,support_mask,x_CooperateBot,x_CupodBot,x_DBot,x_DefectBot,x_DupocBot,x_OBot,x_TitForTatBot,x_EBot,c,c_crosscheck,is_interior,is_singular,tangent_eigvals,max_re_eigval,min_re_eigval,has_complex_eigvals,within_face_class,external_invasion_fitnesses,max_external_fitness,externally_stable,overall_class
185,"(CooperateBot, DefectBot, DupocBot, OBot, EBot)",5,10011101,0.28571428571428575,,,0.2857142857142857,0.04761904761904764,0.2857142857142857,,0.09523809523809525,0.8571428571428572,0.8571428571428573,True,False,"[[-0.07997823800774453, 0.4459179147236928], [-0.07997823800774453, -0.4459179147236928], [0.07997823800774473, 0.06653150317188794], [0.07997823800774473, -0.06653150317188794]]",0.07997823800774473,-0.07997823800774453,True,saddle,"{""CupodBot"": -0.1428571428571429, ""DBot"": -0.5714285714285714, ""TitForTatBot"": -0.19047619047619047}",-0.1428571428571429,True,saddle
186,"(CooperateBot, DefectBot, DupocBot, TitForTatBot, EBot)",5,10011011,0.666666666666667,,,-3.608224830031759e-16,0.11111111111111112,,0.2222222222222223,1.356939252319636e-16,2.000000000000001,2.0000000000000013,False,False,[],,,False,,{},-inf,True,non_interior
187,"(CooperateBot, DefectBot, OBot, TitForTatBot, EBot)",5,10010111,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
188,"(CooperateBot, DupocBot, OBot, TitForTatBot, EBot)",5,10001111,0.6666666666666663,,,,0.11111111111111109,3.9320398788807626e-16,0.22222222222222196,2.9605947323337506e-16,1.9999999999999991,1.9999999999999991,False,False,[],,,False,,{},-inf,True,non_interior
189,"(CupodBot, DBot, DefectBot, DupocBot, OBot)",5,01111100,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
190,"(CupodBot, DBot, DefectBot, DupocBot, TitForTatBot)",5,01111010,,-0.5,-0.49999999999999994,1.5,0.5,,0.0,,-1.4999999999999998,-1.5,False,False,[],,,False,,{},-inf,True,non_interior
191,"(CupodBot, DBot, DefectBot, DupocBot, EBot)",5,01111001,,-0.5,-0.49999999999999994,1.5,0.5,,,0.0,-1.4999999999999998,-1.5,False,False,[],,,False,,{},-inf,True,non_interior
192,"(CupodBot, DBot, DefectBot, OBot, TitForTatBot)",5,01110110,,0.3333333333333333,0.0,3.700743415417188e-17,,0.6666666666666666,0.0,,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
193,"(CupodBot, DBot, DefectBot, OBot, EBot)",5,01110101,,0.3333333333333333,0.0,3.700743415417188e-17,,0.6666666666666666,,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
194,"(CupodBot, DBot, DefectBot, TitForTatBot, EBot)",5,01110011,,0.18918918918918926,-0.2162162162162162,1.135135135135135,,,0.05405405405405414,-0.16216216216216223,-0.6486486486486486,-0.6486486486486486,False,False,[],,,False,,{},-inf,True,non_interior
