t,alpha,zoo,family,fingerprint,n_ne,n_components,max_ne_coop,n_coop_components,full_coop_exists,n_stable_faces,moran_ss,realized_coop
0.0,1.0,body,syntactic,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.2,1.0,body,syntactic,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.4,1.0,body,syntactic,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.6,1.0,body,syntactic,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
0.8,1.0,body,syntactic,f5cab66f807b,81,1,0.0,0,False,0,—,0.0
1.0,1.0,body,syntactic,3e68620cd1cf,21,3,1.0,2,True,6,Dup,0.942636
0.0,0.0,body+twins,behavioral,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.2,0.0,body+twins,behavioral,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.4,0.0,body+twins,behavioral,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.6,0.0,body+twins,behavioral,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.8,0.0,body+twins,behavioral,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
1.0,0.0,body+twins,behavioral,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.0,0.3,body+twins,behavioral,68f53b781581,9,1,0.0,0,False,0,Def+OB+Pru,0.0
0.2,0.3,body+twins,behavioral,a8a7b69d7a34,80,2,1.0,1,True,0,CIM+Dup,0.876999
0.4,0.3,body+twins,behavioral,79aa5b935d57,80,2,1.0,1,True,4,CIM+Dup,0.944508
0.6,0.3,body+twins,behavioral,5e939f5bdcca,80,2,1.0,1,True,8,CIM+Dup,0.942999
0.8,0.3,body+twins,behavioral,077ccc54b8a2,80,2,1.0,1,True,6,CIM+Dup,0.9434239999999999
1.0,0.3,body+twins,behavioral,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.45,body+twins,behavioral,596dd0e9580c,25,1,0.0,0,False,0,CIM+Def+Dup+OB+Pru,0.0
0.2,0.45,body+twins,behavioral,fb199f0332c5,32,2,1.0,1,True,5,CIM+Dup,0.9781920000000001
0.4,0.45,body+twins,behavioral,5e939f5bdcca,80,2,1.0,1,True,8,CIM+Dup,0.942999
0.6,0.45,body+twins,behavioral,077ccc54b8a2,80,2,1.0,1,True,6,CIM+Dup,0.9434239999999999
0.8,0.45,body+twins,behavioral,077ccc54b8a2,80,2,1.0,1,True,6,CIM+Dup,0.9434239999999999
1.0,0.45,body+twins,behavioral,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.62,body+twins,behavioral,596dd0e9580c,25,1,0.0,0,False,0,CIM+Def+Dup+OB+Pru,0.0
0.2,0.62,body+twins,behavioral,8001ec15fe4e,13,2,1.0,1,True,2,CIM+Dup,1.0
0.4,0.62,body+twins,behavioral,6e57c8255e97,32,2,1.0,1,True,6,CIM+Dup,0.98341
0.6,0.62,body+twins,behavioral,cd41b8a9f0ad,81,3,1.0,2,True,6,CIM+Dup,0.9588890000000001
0.8,0.62,body+twins,behavioral,cd41b8a9f0ad,81,3,1.0,2,True,6,CIM+Dup,0.9588890000000001
1.0,0.62,body+twins,behavioral,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.8,body+twins,behavioral,dabbd1a3162d,100,1,0.0,0,False,0,—,0.0
0.2,0.8,body+twins,behavioral,2e8ec4080b92,25,1,0.0,0,False,0,CIM+Dup,0.013677
0.4,0.8,body+twins,behavioral,68f442c576a6,18,2,1.0,1,True,2,CIM+Dup+TFT,0.9924769999999999
0.6,0.8,body+twins,behavioral,76371da7d6fb,25,2,1.0,1,True,11,CIM+Dup+TFT,0.994317
0.8,0.8,body+twins,behavioral,cd41b8a9f0ad,81,3,1.0,2,True,6,CIM+Dup,0.9588890000000001
1.0,0.8,body+twins,behavioral,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,1.0,body+twins,behavioral,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.2,1.0,body+twins,behavioral,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.4,1.0,body+twins,behavioral,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.6,1.0,body+twins,behavioral,9e838945e70a,121,1,0.0,0,False,0,—,0.0
0.8,1.0,body+twins,behavioral,9e838945e70a,121,1,0.0,0,False,0,—,0.0
1.0,1.0,body+twins,behavioral,f3e66e570e00,80,2,1.0,1,True,6,CIM+Dup,0.9494859999999999
0.0,0.0,body+twins,syntactic,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.2,0.0,body+twins,syntactic,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.4,0.0,body+twins,syntactic,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.6,0.0,body+twins,syntactic,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.8,0.0,body+twins,syntactic,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
1.0,0.0,body+twins,syntactic,f7df4db66078,144,1,1.0,1,True,0,—,0.9999960000000001
0.0,0.3,body+twins,syntactic,68f53b781581,9,1,0.0,0,False,0,Def+OB+Pru,0.0
0.2,0.3,body+twins,syntactic,db73ab5819d7,52,2,1.0,1,True,1,CIM+Dup,0.9323819999999999
