t,alpha,zoo,family,fingerprint,run,n_types,is_fully_proven,n_pure_ess,edges_strict,n_sccs,n_cycles,n_supports,n_stable_faces,n_extreme_ne,n_ne_components,n_attractors,largest_basin,dominant_support,moran_ss,moran_population,moran_beta
0.0,0.3,body,behavioral,335dcfbdb5f1,body_t000_a030_335dcfbdb5f1,10,True,0,15,10,0,1013,0,53,2,37,0.472637,Coop+CupT+DB+DIM+Dup+EB+TFT,Def+Dup+OB,100,1.0
0.0,0.45,body,behavioral,0589b43d45a5,body_t000_a045_0589b43d45a5,10,True,0,21,10,0,1013,0,9,1,11,1.0,Def+Dup+OB,Def+Dup+OB,100,1.0
0.0,0.62,body,behavioral,dd7f6ef7d6d2,body_t000_a062_dd7f6ef7d6d2,10,True,0,25,10,0,1013,0,25,1,14,0.985075,Cup+Def+Dup+EB+OB,Cup+Def+Dup+EB+OB,100,1.0
0.0,0.8,body,behavioral,1761ebc2cf84,body_t000_a080_1761ebc2cf84,10,True,0,16,10,0,1013,0,64,1,16,0.970149,Cup+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.0,1.0,body,behavioral,f5cab66f807b,body_t080_a100_f5cab66f807b,10,True,0,9,10,0,1013,0,81,1,17,0.965174,Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
1.0,0.0,body,syntactic,4646208ebc75,body_syntactic_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
1.0,0.3,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,0.45,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,0.62,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,0.8,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
1.0,1.0,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,0.0,body,syntactic,4646208ebc75,body_syntactic_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.8,0.3,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,0.45,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,0.62,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,0.8,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.8,1.0,body,syntactic,f5cab66f807b,body_syntactic_t080_a100_f5cab66f807b,10,True,0,9,10,0,1013,0,81,1,17,0.965174,Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.6,0.0,body,syntactic,4646208ebc75,body_syntactic_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.6,0.3,body,syntactic,6834f939325e,body_syntactic_t060_a030_6834f939325e,10,True,0,34,3,69,1013,8,21,3,13,0.945274,Coop+Dup+TFT,Dup,100,1.0
0.6,0.45,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.6,0.62,body,syntactic,3e68620cd1cf,body_syntactic_t100_a030_3e68620cd1cf,10,True,0,33,3,39,1013,6,21,3,13,0.950249,Coop+Dup+TFT,Dup,100,1.0
0.6,0.8,body,syntactic,9125beb8d6eb,body_syntactic_t060_a080_9125beb8d6eb,10,True,0,35,2,39,1013,6,13,2,12,0.99005,Def+Dup+OB,Def,100,1.0
0.6,1.0,body,syntactic,f5cab66f807b,body_syntactic_t080_a100_f5cab66f807b,10,True,0,9,10,0,1013,0,81,1,17,0.965174,Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.4,0.0,body,syntactic,4646208ebc75,body_syntactic_t100_a000_4646208ebc75,10,True,0,0,10,0,1013,0,100,1,18,0.935323,Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+TFT,—,100,1.0
0.4,0.3,body,syntactic,4c0fe0a9464d,body_syntactic_t040_a030_4c0fe0a9464d,10,True,0,29,4,11,1013,5,29,2,12,0.960199,Coop+Dup+TFT,Dup,100,1.0
0.4,0.45,body,syntactic,6834f939325e,body_syntactic_t060_a030_6834f939325e,10,True,0,34,3,69,1013,8,21,3,13,0.945274,Coop+Dup+TFT,Dup,100,1.0
0.4,0.62,body,syntactic,3fc0a43be3f1,body_syntactic_t040_a062_3fc0a43be3f1,10,True,0,33,3,22,1013,4,21,3,13,0.885572,Coop+Dup+TFT,Dup,100,1.0
